year,city,start
2007,BRISBANE,14
2007,SYDNEY,13
2007,PERTH,11
2007,MELBOURNE,12
2008,ADELAIDE,6
2008,BRISBANE,14
2008,SYDNEY,14
2008,PERTH,15
2008,MELBOURNE,11
2009,ADELAIDE,12
2009,BRISBANE,13
2009,SYDNEY,12
2009,PERTH,13
2009,MELBOURNE,10
2010,ADELAIDE,15
2010,BRISBANE,12
2010,SYDNEY,12
2010,PERTH,12
2010,MELBOURNE,14
2011,ADELAIDE,12
2011,BRISBANE,12
2011,SYDNEY,10
2011,PERTH,13
2011,MELBOURNE,11
2012,ADELAIDE,11
2012,BRISBANE,13
2012,SYDNEY,11
2012,PERTH,13
2012,MELBOURNE,12
2013,ADELAIDE,10
2013,BRISBANE,11
2013,SYDNEY,13
2013,PERTH,12
2013,MELBOURNE,12
2014,ADELAIDE,15
2014,BRISBANE,14
2014,SYDNEY,14
2014,PERTH,13
2014,MELBOURNE,13
2015,ADELAIDE,13
2015,BRISBANE,12
2015,SYDNEY,13
2015,PERTH,12
2015,MELBOURNE,12
2016,ADELAIDE,12
2016,BRISBANE,14
2016,SYDNEY,14
2016,PERTH,13
2016,MELBOURNE,14
