"city","mean_emperical_sample_mean_d.AH","d.AH_pvalue","mean_emperical_sample_mean_d.temp","d.temp_pvalue","num_preceding_fortnight","adjusted_d.AH_pvalue","adjusted_d.temp_pvalue","ManuscriptTable_Temp","ManuscriptTable_AH"
"ADELAIDE",-0.551155883984779,0.00101,0.110186007540846,0.668734,1,0.00505,1,"0.11  (0.669)","-0.551  (0.001)"
"BRISBANE",-0.103323637195527,0.383817,0.0982412855961249,0.662876,1,0.767634,1,"0.098  (0.663)","-0.103  (0.384)"
"MELBOURNE",-0.241647843735315,0.059637,-0.191580626780626,0.262129,1,0.178911,1,"-0.192  (0.262)","-0.242  (0.06)"
"PERTH",-0.488129097362175,0.024393,-0.193558903462129,0.274535,1,0.097572,1,"-0.194  (0.275)","-0.488  (0.024)"
"SYDNEY",0.33491030620845,0.896253,0.00979179487179427,0.530385,1,0.896253,1,"0.01  (0.53)","0.335  (0.896)"
"ADELAIDE",-0.347680504710522,0.006932,-0.0089467253176931,0.509298,2,0.03466,1,"-0.009  (0.509)","-0.348  (0.007)"
"BRISBANE",0.0215620858542392,0.54308,0.136716648942456,0.75971,2,1,1,"0.137  (0.76)","0.022  (0.543)"
"MELBOURNE",-0.0603299413037971,0.299507,0.0299780219780227,0.560443,2,0.97136,1,"0.03  (0.56)","-0.06  (0.3)"
"PERTH",-0.122670420824806,0.24284,-0.116979932254126,0.326558,2,0.97136,1,"-0.117  (0.327)","-0.123  (0.243)"
"SYDNEY",0.0172510953119795,0.529943,0.0603474236874233,0.643613,2,1,1,"0.06  (0.644)","0.017  (0.53)"
"ADELAIDE",-0.237941347512267,0.036367,-0.00518977438332293,0.511381,3,0.181835,1,"-0.005  (0.511)","-0.238  (0.036)"
"BRISBANE",-0.00558631884264355,0.495193,0.127016016241823,0.771717,3,1,1,"0.127  (0.772)","-0.006  (0.495)"
"MELBOURNE",-0.0145697081985622,0.423853,0.170966598833266,0.814207,3,1,1,"0.171  (0.814)","-0.015  (0.424)"
"PERTH",0.0746897481530599,0.612676,-0.131041225202516,0.277172,3,1,1,"-0.131  (0.277)","0.075  (0.613)"
"SYDNEY",0.0408636770273561,0.59085,0.0499502157102157,0.639211,3,1,1,"0.05  (0.639)","0.041  (0.591)"
